Report Date,Bank ID,Total Assets,Total Liabilities,Equity,Net Income,Loan Type,Loan Amount,Interest Rate
2022-01-27,1189.0,306309032.75009805,334577394.4960079,526723392.8657043,8913801.130490618,Retail,1369278.803745251,4.552419431106295
2022-01-28,3734.0,605611500.4179562,821876620.9341991,694700738.1891392,,Retail,1950761.47621101,4.967710964750398
2022-01-29,4005.0,805802398.8301128,757948458.3820404,268661292.0570874,872210.911926484,Auto,1608076.2890457853,3.3842651463253426
2022-01-30,5658.0,936831392.5139256,,763155366.4133248,30703.32519286056,Auto,5475720.5412068255,3.1173525790332968
2022-01-31,2899.0,481548326.69128513,,769744341.5401447,1436780.827087442,Auto,3704972.879335466,2.2308157553012213
2022-02-01,,278700497.907731,975589618.7937105,501374877.35384184,8066990.143998779,Mortgage,8599890.076611942,1.0225668759859765
2022-02-02,2267.0,255758759.669512,406738362.0677153,416259694.1381379,5412867.051401869,Mortgage,2328653.9123028824,7.513028097813409
,2528.0,358082223.9102633,980007203.798386,641261971.985582,,Wholesale,6857456.095322586,2.9371487535624494
2022-02-04,4556.0,424909928.85145646,246660243.40942794,17305169.86920725,8889416.454988068,Auto,5888367.461055881,9.928773517210725
2022-02-05,4890.0,389782300.23131865,954583280.3351667,855970946.9123666,2758094.318094976,Mortgage,238710.52884292102,9.057451500389032
2022-02-06,9838.0,952195062.1718187,864569354.661426,,4129670.1625847965,Wholesale,,7.228409980424373
2022-02-07,6393.0,437691927.0283014,199931828.50472727,505680844.68728703,9500810.565337824,Retail,1645965.4560975924,8.110971402629927
2022-02-08,9792.0,552040978.5137731,5958392211.639329,17645543.09559556,2041654.9157642513,Wholesale,3310004.0010082675,8.498558106951617
2022-02-09,9433.0,748884647.2054207,708213164.3184055,372047792.8147057,6613070.539268007,Mortgage,2319644.086549962,4.448177101877114
2022-02-10,8513.0,725359712.189535,192429462.12093648,455670956.542792,848326.3711003948,Mortgage,7562033.489295113,5.208772809179349
2022-02-11,3612.0,583381602.1278741,591115826.9365449,840707534.3317502,5098379.004590646,Mortgage,9804780.174406232,1.6521811336920553
2022-02-12,8041.0,860971191.4756907,535272321.8756093,35230039.691287406,8365444.095490495,Wholesale,2349040.7566290135,2.692780809662541
2022-02-13,7235.0,624557127.631887,292582207.8855682,508367380.05009395,2282471.3362384895,Retail,7835627.684634233,3.5428330972295634
2022-02-14,6486.0,874884088.5412109,301232906.28454775,460073024.8125884,933084.8067012455,Wholesale,76819.81930897526,0.9600946671757977
2022-02-15,8099.0,303462984.8319213,516791962.3293336,222475741.2565476,8621305.039697709,Auto,862931.8915880399,6.459265871706777
2022-02-16,1775.0,132891653.23642227,300549552.23272735,244175655.6356427,971149.9062781353,Mortgage,3659602.057724455,6.860415156658683
2022-02-17,9226.0,819700936.0927199,181074440.87055027,581333080.8017306,8987916.20235228,Auto,2282694.9113188963,1.8198787333416626
2022-02-18,4152.0,383135390.06693447,773585338.2417861,968732402.1812484,6961059.58376322,Mortgage,2155663.163325989,1.2697875691143674
2022-02-19,2585.0,651433487.069599,582179835.574503,793139071.4719304,884639.153681838,Mortgage,3111005.456317178,8.416170791775322
2022-02-20,4943.0,737573885.2731237,438198404.50668085,500637033.29938346,8864991.200024234,Retail,7976382.622141134,8.584336335017943
2022-02-21,,327383764.9518217,182066337.1945306,574510871.9590296,1714906.6571427905,Retail,1588348.0589246307,5.143556063233716
2022-02-22,4073.0,505658225.181469,594771112.2887216,574575301.3085593,1813966.1458793632,Auto,2993106.6766489507,9.691417030833229
2022-02-23,2021.0,895031588.6243645,628977983.1450198,701796366.3556781,7328171.797754487,Retail,,4.542592504666764
2022-02-24,,879913442.0032334,480275865.53721654,337981087.55200773,5783672.502381094,Wholesale,8062886.055806976,1.0696236881436199
2022-02-25,8989.0,749607720.4352517,6347233445.73209,676394814.9142455,8114853.239098873,Mortgage,426668.7958302585,4.845880224092156
2022-02-26,7873.0,762976792.4115589,867379485.3593919,255088176.09180406,3336821.4716460044,Mortgage,4045585.191862141,7.553736365684333
2022-02-27,6675.0,897786764.6322507,705104997.430455,803149120.3305286,69921102.06914192,Wholesale,4421037.788978212,8.294206408245806
2099-12-31,1161.0,736596054.9026262,356815261.5970564,,5067905.466223072,Mortgage,9748863.752723968,8.122175573119426
2022-03-01,5297.0,340245773.94419193,,561393594.5982723,4705697.40831633,Retail,6701672.811164349,0.8832608034222323
2022-03-02,1995.0,121661896.96037863,234497404.04547426,72389101.25009982,5927028.027728802,Mortgage,2143932.065244616,9.841286862418524
2022-03-03,8629.0,422462215.8747626,12458495.98216245,712107531.8394393,9030599.555849614,Mortgage,3021980.151731184,0.9862616430815008
2099-12-31,2016.0,88256072.43782265,868978457.0394435,,5921913.86332404,Retail,6941358.768926676,1.330341428153993
2022-03-05,8869.0,116655006.21379763,819070138.7501986,944287049.2095236,4997097.30750679,Wholesale,6704330.775130116,1.604453836166178
2022-03-06,7439.0,950221920.743733,639763792.7138015,910864486.9300922,98314277.09333551,Retail,681629.9063676513,9.421875113910204
2099-12-31,8892.0,676211073.6418873,811502318.7236307,563827551.4932908,,Mortgage,8244093.882297783,5.119978166066812
2022-03-08,7863.0,851757091.7698288,781041786.2532715,918171277.5634758,-857673.9221582406,Wholesale,7682995.548624554,7.959858357453728
2022-03-09,,643256294.0802171,860395973.98253,268759245.6100272,1619531.1536866669,Retail,2949073.3819523244,1.8282519324970272
2022-03-10,9529.0,419121488.371671,891972161.1961732,,3806302.0219031842,Wholesale,2490452.838579949,3.91058247124858
2022-03-11,1878.0,26133623.67912118,818984440.6626648,477121252.190612,3861403.9805755345,Wholesale,1517674.9405823,6.128216546010766
2022-03-12,5887.0,955881199.9380624,851896962.6520365,31855976.40229899,9486282.17999106,Wholesale,4458887.951973833,8.068819326141666
2022-03-13,5859.0,71861539.58052866,502194099.76129,78182082.90286556,2310317.0988816563,Mortgage,3862996.636672593,9.5650946648455
2022-03-14,7331.0,610552902.9538128,708299428.982601,601772888.5990479,9670930.727923803,,123373.78998947494,9.623168724484602
2022-03-15,9571.0,103101008.51878487,333913399.1502332,704315090.4106988,-637184.8736216072,Wholesale,8597121.695530122,6.085155645646396
2022-03-16,9684.0,284863530.9109788,861270742.7410932,139560692.79883242,8945277.6112909,Wholesale,3341279.2061820272,9.307097717063357
2022-03-17,8208.0,186631639.84149593,858732045.5912861,342001059.78202087,60124706.13564302,Auto,1811454.0709658258,0.5866379054714387
2022-03-18,6276.0,554163198.2437179,67076336.53263185,807993284.7927634,3505334.917224775,Wholesale,4857721.538689022,9.198435260169466
2022-03-19,3062.0,887188269.776978,347672827.49646163,201749050.80805463,9892646.793599995,Mortgage,8227189.449264104,2.865017921532863
2022-03-20,1064.0,635986685.4899184,172273358.30664033,890697514.9152468,9976860.37129406,Wholesale,8258546.632123072,2.680364038506237
2022-03-21,,664523831.4867543,136664135.80622283,562012752.6245157,36189736.95772062,Wholesale,3447208.356358053,9.626276120117716
2022-03-22,3568.0,909022564.7170893,415477881.04475987,593744380.1106957,1126946.019639927,Auto,6365759.193897379,9.297674790213598
2022-03-23,6463.0,749675802.7431343,626035735.7736933,150883317.82793787,4024028.988890636,Wholesale,7011063.6068378445,6.880443697636044
2022-03-24,3027.0,866089880.5476487,344382066.4489627,62586237.063656464,8161221.676990297,Auto,935242.2932743815,6.971303751472772
2022-03-25,3695.0,416975699.7680055,309905754.29501265,363376377.970237,6746073.937518558,Mortgage,2225109.770113165,0.7444172847728021
2022-03-26,6258.0,865490981.434348,95363134.51331262,95720595.73566245,-351072.21811558504,Wholesale,3901157.256743387,9.531559666181293
2022-03-27,6618.0,646215527.1772786,383536869.4033166,100681662.86874175,1450745.886653699,,1688707.5823159239,4.975215338321591
2022-03-28,7736.0,136472174.95859677,471506729.1409661,948961663.2953925,4125390.3770589987,Mortgage,9578020.261133902,0.7370331829711885
2022-03-29,1391.0,39673795.85869901,399307285.4925348,68930317.24669684,9543000.251304567,Mortgage,8537608.510402573,3.1190986797970246
2099-12-31,6892.0,244790379.2720986,,439969888.94531214,5784753.158505139,Mortgage,8527468.58303379,4.389442338058862
2022-03-31,4561.0,378971299.1778645,288869972.28896326,756286437.7387096,-442735.12706792145,Retail,7363513.708385813,1.0167448033124864
2022-04-01,7184.0,,716326607.8377026,285318655.7906461,3219229.0670207236,Wholesale,9727535.5716134,2.8189380705160225
2022-04-02,4099.0,741503312.4682714,882886536.233749,498317555.61934257,8974408.325829638,Mortgage,6516034.262225687,4.174850462923302
2022-04-03,7278.0,,591649058.6756254,360663990.8882095,4565269.684845416,Auto,501922.3542451315,3.7732469893384235
2022-04-04,9392.0,559615623.9477595,389288979.60082346,713650440.4844949,67707.67244168883,Auto,9921957.475394659,4.989492437649302
2022-04-05,4104.0,747993909.9563866,180513191.39162734,610193568.219294,5583254.764692195,Auto,2730928.343764003,6.9364238808942975
2022-04-06,8215.0,276008101.8573821,932491303.4438841,309567638.8690514,6452284.798844508,Mortgage,7037901.9755945075,8.049903994929878
2022-04-07,,679898315.0024118,752103759.1069098,632033812.58071,7279977.3432781035,Wholesale,880315.1495376016,5.719347912195583
2022-04-08,9996.0,706445051.3337499,,4083556.5125023285,2692874.2495438685,Retail,6978785.540627272,
2022-04-09,,848566913.0911417,151484150.85815117,671345388.7613305,6710795.963144921,Wholesale,9518261.663046671,6.199931419993522
2022-04-10,9154.0,536867107.3642087,50260902.68555959,781942154.0736257,2521878.3567570453,Retail,1871759.8169758094,7.36613456901707
2022-04-11,6056.0,649356142.4475819,191362424.5317112,7876408.5910229115,4723626.767364441,Auto,3426806.726531856,5.156956705896568
2022-04-12,9110.0,,12454928364.196241,661006695.0797151,-785447.175283255,Wholesale,8391679.774997747,9.696474002705623
2022-04-13,4840.0,737022331.0363249,629904058.1771512,,64151771.84045632,Retail,4757317.858724354,7.408058244748533
2022-04-14,2028.0,838573310.917495,967469214.3453985,283594756.62776095,3161910.082974642,Auto,4309616.214091113,
2022-04-15,8385.0,4159008059.08161,322648986.54835737,198773524.38547507,6755176.093917278,Mortgage,4690242.929887447,0.6630015149135683
2022-04-16,1502.0,116558787.911824,786813592.0481853,957485025.0113509,9608029.610007081,Mortgage,2282386.879219159,2.4823045125623278
2022-04-17,7910.0,,121338495.5654129,482122825.53268486,-108122.0976230735,Wholesale,6867780.556863807,6.979391079705489
2022-04-18,7938.0,476039136.36027867,563020115.037242,458490516.8020017,8453477.12352209,Auto,7119766.933152321,6.883858920982228
2022-04-19,5488.0,4742396603.080019,467323981.3446007,846760356.2780526,15585523.19281213,Retail,7089338.698421814,1.5224837315041377
2022-04-20,1206.0,321006780.7573602,838361250.1129189,383331181.68469065,1663621.8423148142,Credit Card,1412497.566170818,9.36346221387709
2022-04-21,6134.0,840450760.287775,701901628.5362821,805891399.3556607,1486349.5682654139,Mortgage,6680990.190183871,3.8560991005054825
2022-04-22,6977.0,372418001.57403815,195121064.84076118,567968280.9746503,512777.4385250509,Mortgage,9685513.3976607,
2022-04-23,8721.0,43793511.59901382,983900579.7344873,211578646.2732515,1157285.7757919645,Auto,4866380.4430484595,7.877878955282902
2022-04-24,8035.0,794200422.2531652,823320202.9595028,351404358.3296251,7166372.922047558,,741293.7961809112,8.47777072323569
2022-04-25,2484.0,644578946.3415302,355275758.3681174,23985289.72788407,7452998.685069796,Mortgage,4495615.948510102,1.687023722188122
2022-04-26,8858.0,802154538.2359669,826204224.5296428,440489763.53486764,9573773.007506613,Auto,3239757.9480208824,3.330341405729157
2022-04-27,,349540923.45362663,956953731.8309162,936704733.2834526,141483.78633964807,Mortgage,5072280.87381288,6.079715574503838
2022-04-28,3790.0,18612561.960493185,890391657.5435557,632324100.9376744,,Credit Card,5327604.634341809,2.379003159915899
2022-04-29,8408.0,74679170.7341701,9463114306.96652,578340723.681072,8736539.301920429,Retail,2619960.6570701553,9.236539691093338
2022-04-30,9755.0,112688979.9201264,577570680.0894384,869791447.7044694,5210398.621058328,Mortgage,5788734.204841306,3.309887771037237
2022-05-01,,805342430.577546,,123077386.96526437,49969139.49552778,Retail,3946760.924098925,3.1395738669844055
2022-05-02,7019.0,302133319.6057972,165541820.5503674,796615695.3885213,7491227.889537342,Retail,9586180.009268938,3.187988790832583
2099-12-31,2757.0,997900610.9130403,,697875503.2666546,5082680.528021691,Wholesale,1600546.8374342425,2.644315530058251
,8574.0,758630008.1003884,770020380.9734826,529936149.1417227,-316128.27477965294,,3977887.62421625,8.266409489780475
2022-05-05,7374.0,601553798.1371416,26481495.701958112,385754640.69642645,8890892.979364015,Auto,4326160.748858509,2.5167899351872505
2022-05-06,7892.0,983635792.5844283,547995255.4832184,36425814.95592296,473077.63103122683,Auto,348235.3143096006,1.146864963597796
2022-05-07,2678.0,316992879.12820137,345951566.5874419,618402698.2642562,4281578.826754123,Auto,7339684.308035892,4.708202235692805
2022-05-08,4242.0,1165149674.8643498,312201435.9202537,569736218.8589483,3009853.6468902105,Wholesale,6541823.9558214955,7.604216714627527
,5636.0,737535696.681664,557047190.2725863,285440311.15748405,3068618.51076007,Wholesale,6827215.275497472,8.647221038379296
2022-05-10,2059.0,278805295.41085196,320830662.5592863,275281446.334902,2126455.34014678,Mortgage,2795387.2318149065,9.721109054717731
2022-05-11,7668.0,961075891.1386905,252302990.46071932,358260500.675054,9529074.931507023,Credit Card,9973218.771140698,4.47294414301175
2022-05-12,4157.0,988081242.9379207,937878090.9186338,433959228.85951823,-74770.62327241618,Wholesale,9120607.911155697,4.3419905775021
2022-05-13,6915.0,926477990.6303284,40817347.855601594,738362203.7525392,7827336.207257509,Auto,1203752.4899362975,9.202999544488552
2022-05-14,3693.0,944817001.1466352,436734832.1514749,512806975.46376324,3317746.144374606,Retail,9585945.795056699,8.911286261907199
2022-05-15,4627.0,4312274138.192605,511674919.8093886,151091998.0061956,-420961.79999022663,Mortgage,9882281.072321698,4.306695773762728
2022-05-16,6450.0,692426530.9190613,440511836.48523206,891516611.5519297,5303356.525533862,Retail,4835247.704774312,7.953486592550532
2022-05-17,2663.0,95151911.6149217,657593986.8266581,479737758.3052836,3094207.309747351,Mortgage,2997385.0827464024,9.408698435502528
2022-05-18,6592.0,763287109.5689602,26650342.899017427,897379680.8329513,1426580.6849587183,Wholesale,8795499.11888536,8.071320104835046
2022-05-19,,202861299.71381754,885113443.2358987,,3074546.0383455968,Retail,8051119.514544236,9.734939420645096
2022-05-20,2306.0,840485733.6446784,500712024.97269857,569599814.8181385,9748289.016934,Mortgage,5554707.262965157,7.637311831363199
2022-05-21,,961570288.7903904,554120777.3301951,334871227.35274565,,Wholesale,8738496.821212096,4.919846923762888
2022-05-22,6864.0,213165251.53630784,463308314.0217086,971282129.8999721,8019514.376640711,Mortgage,4629296.828540199,6.259575564530051
2022-05-23,8526.0,78953086.4880157,445064012.92698246,983296102.3682578,4780624.682381859,Auto,5498822.28582102,6.468051607390339
2022-05-24,9901.0,484406249.12862194,187512706.04445437,363480532.35728306,2250202.108332965,Credit Card,7686195.337636215,5.2855061872749785
2022-05-25,6575.0,791757822.5763608,504891111.54835784,789763917.7041272,5030180.58889865,Credit Card,711530.0414687566,1.072305160900917
2022-05-26,6530.0,,421925886.8385673,270666007.9160566,5001235.163583788,Wholesale,3048247.5406948323,7.5846558948021015
2022-05-27,5413.0,697121687.1509277,468651329.7914752,614183009.3785869,631585.741624224,Auto,3615902.2504582517,2.4356731094534383
2022-05-28,4748.0,820875294.2445064,14817049.829212744,671198038.1296997,6281793.8342185905,Retail,3363524.4449250405,6.068112839590413
2022-05-29,1663.0,175813364.2425575,131762588.69758461,984423639.828642,7594005.243326226,,9708084.488319885,
,2998.0,4566000740.8964205,763408132.1025484,288939327.69636893,5038132.699422561,Retail,6647085.270618686,1.6071471697764546
2022-05-31,8994.0,606073636.5817522,419684878.7840001,706229381.8089374,3365367.987510631,Retail,820977.4311303697,8.703184065785798
2022-06-01,2495.0,154278292.03593346,743164102.6126521,246233717.3326552,6027327.733271259,Retail,,3.39934284593987
2022-06-02,4304.0,415012643.5679091,171940149.8318643,37082603.1425802,4910178.610686312,Wholesale,1689921.67295591,7.6306107698382
2022-06-03,4763.0,852677189.5902379,698512094.9688628,285733295.12753785,-86034.5203847948,Wholesale,9242278.232635684,9.211222905669484
2022-06-04,6232.0,971830002.2441117,289822536.42987293,786628879.5528411,3119086.0944126663,Retail,5317971.188629786,1.9659316306571981
2022-06-05,2853.0,665764747.3997744,705416506.7034245,936977752.9765232,9189644.311589837,Mortgage,5733575.821842415,0.5547460670330537
2022-06-06,7585.0,922019100.9442581,87696966.15800624,27103205.960269704,-323386.8613119222,Mortgage,,0.7160589686239976
2022-06-07,2291.0,132917181.35283391,334307828.54628175,112954247.558965,2122026.5860283975,Auto,780423.9727047067,4.548948454111312
2022-06-08,4581.0,975085465.1173042,120237058.01445158,370452784.9917752,8422244.61095046,Wholesale,2042013.8421902435,9.069833107400212
2022-06-09,8554.0,34472992.681532755,630014563.5879916,453062172.7275444,-985311.3029425992,Mortgage,6189147.569887599,4.626198256704496
2022-06-10,8280.0,527732014.19763035,393205470.86179143,928209836.8175051,9352806.065591289,Wholesale,9129579.403239079,4.8690720795253775
2022-06-11,2636.0,291717321.1413483,75202649.67928956,21821766.439796984,6569925.771646882,Wholesale,2179663.7317465506,6.906212902402447
2022-06-12,4696.0,814095197.6780245,526839589.20602834,849153159.769793,3170240.7815715843,Credit Card,174898.4951253403,9.946214744689959
2022-06-13,1698.0,218326088.46541318,25872102.81660881,514946376.06503993,-686509.9653671805,Mortgage,2480525.1164212124,
2022-06-14,5737.0,12518506.696405655,818659187.4981521,215531139.422388,,Wholesale,3427353.1651069606,0.6444767921671719
2022-06-15,1854.0,415194849.776957,938407955.2568336,196915369.29760042,2251295.4389032894,Wholesale,813131.2040717774,3.0249766539313185
2022-06-16,9164.0,65043889.668778375,810260718.7611837,50933582.82472866,6250487.824505806,Mortgage,969840.314289554,7.366493609807832
2022-06-17,6855.0,290802476.6185613,,246915248.08871797,-260134.80604105815,Wholesale,5114543.127043902,5.43064609161197
2022-06-18,8392.0,644103943.9750315,897214591.3585871,974607362.4610635,8698153.615467247,Credit Card,6215518.92127549,4.09742387676817
2099-12-31,7528.0,295408473.4399494,895035470.8563817,798171749.1742595,8434084.82676441,Wholesale,8077723.290418502,3.001093068004249
2022-06-20,6249.0,246547434.0939114,4185309709.938497,962433510.034183,2136778.4137534234,,1516272.972130481,4.191110650863305
2022-06-21,6172.0,156340167.40726924,231937661.1924643,156077030.4645395,1139124.3744665943,Auto,8687734.855038654,2.090985446182507
2022-06-22,2707.0,136037101.81043386,,549607087.5858724,3723627.8872813853,Wholesale,9519183.27086387,2.3782356428562905
2022-06-23,6791.0,526331515.8082378,491893287.88166595,932181149.1055527,2105684.7053593337,Mortgage,6303303.549944728,5.4517436989499135
2022-06-24,6535.0,681825515.9205279,942370239.9220724,660486658.7754943,9454497.430970257,Wholesale,705774.7876633764,9.53175593411736
2022-06-25,5931.0,453280472.52989995,897361457.6848898,21006728.971350826,5409746.217378693,Mortgage,2928412.5049658306,7.40548562284136
2022-06-26,4510.0,124479495.94880265,893285070.803367,70605258.96894789,7096942.706337936,Retail,9190378.304226244,3.7317353836500464
2022-06-27,1202.0,648108543.2220048,326793612.31460816,422432697.106361,4836759.645919459,Retail,187629.96382005542,4.183303614357359
2022-06-28,5218.0,557564776.4233165,133769326.41978095,384958325.97644395,8202800.374141237,Auto,6306370.66254788,3.9388123737317415
2022-06-29,9958.0,381894179.8101816,678265942.9580145,889803211.4322547,75470.66617530631,Auto,,6.694661695004665
2022-06-30,5389.0,2315017811.742213,441136228.24373037,780477352.7442927,6949692.640305021,Wholesale,,8.508782975056821
2022-07-01,3327.0,183969738.25899184,934008528.2081974,133020499.8008722,7443282.126372244,Auto,8245756.815316394,5.533117107586476
2022-07-02,9004.0,147153159.37262544,,90408663.09263565,2963132.0872127195,,,2.6086737966836098
2099-12-31,3931.0,339432922.77423066,928900207.8510171,867056796.1025696,-60505.201417427044,Auto,325250.1809372539,8.874658123241417
2022-07-04,8777.0,42589492.97935181,568298395.5369217,450308779.4232936,6186293.839979739,Wholesale,8971223.792176906,1.369206692526757
2022-07-05,,437190785.38850605,526701520.218607,,2345074.671496552,Retail,3761038.7731954004,2.7556759495441505
2022-07-06,8125.0,601972355.355651,,898691067.0374006,5420122.624130542,Mortgage,7971830.057318368,5.21277442579691
2022-07-07,2930.0,941712621.0175978,512378143.21157557,720649285.8930061,8691222.467167282,Retail,4541132.216807779,1.9299890617978872
2022-07-08,7287.0,626202315.1344594,,164767342.89364934,8151689.459591338,Wholesale,7938815.39566043,5.823953184868482
2022-07-09,9800.0,624451970.8090439,35393936.858850814,606668753.0508343,5334783.154665817,Retail,6803404.905305227,3.6237260877114257
2022-07-10,5282.0,375040390.798002,359430702.3341874,469815176.20687747,194429.25277618715,Wholesale,5961104.351770456,4.218573088258895
2022-07-11,3511.0,134183839.12476985,,256998590.1603937,3922538.925003075,Retail,3567890.4223659956,4.754274066205102
2022-07-12,1659.0,447490715.6025864,210740672.0643736,591480589.9351726,6984084.575839251,Auto,2921216.5958603686,6.965157261497801
2022-07-13,3811.0,599077642.7484465,399567999.6828213,,5237001.991098746,Wholesale,959009.4160003528,1.9824198830411377
2022-07-14,8098.0,724309563.0591482,11032557.899579134,562090000.3678693,2622219.1682582265,Retail,6465200.937960289,
2022-07-15,7546.0,826260687.1215354,302416394.4016664,293739417.66554695,2392434.9462903757,Mortgage,7956062.174337092,2.172862669420444
2022-07-16,2986.0,256672163.9760534,319319342.81048244,725487834.7103487,6462960.945270208,Retail,4311398.609392447,2.6980630741825684
2022-07-17,9338.0,241978855.15265957,732813256.3114772,427206284.2681987,5948572.286683946,Retail,647475.8959270716,0.5162338213756569
,3911.0,3960141942.689895,677655202.2677755,813308947.0017991,5514757.901166221,Mortgage,7093658.460246989,9.658311755915978
2022-07-19,2734.0,566449167.9512949,445512474.5526754,608482058.6243967,9472090.939503541,Retail,5661217.725804838,4.708792579037864
2022-07-20,2843.0,,728774653.4214147,244208449.4630174,88432527.72047491,Retail,5292584.631847116,5.775180411521253
2022-07-21,9680.0,587887835.0409218,428906623.622014,341468303.2856502,2454174.234064079,Auto,9645421.881806148,9.855031298283118
2022-07-22,3976.0,2425730797.870943,435176166.7916332,287344638.0367987,,Credit Card,6180664.064635985,8.463984285005509
2022-07-23,2959.0,639675603.9597542,645908837.2021989,359944184.7240369,9150089.605168601,,9171580.795940889,9.321472281479057
2022-07-24,6759.0,291753668.9585294,723160213.3792096,172326459.46847934,1291369.462022386,Wholesale,9845176.729942607,8.102757220084545
2022-07-25,7694.0,592699500.2795049,847057414.3757519,476126750.4388452,9748733.82161504,Mortgage,43766.88580394567,6.625241943596909
2022-07-26,3385.0,768541731.1956861,751651132.0581228,50058656.72301171,1369910.6728977654,Wholesale,1653087.3732177438,3.805809211495306
2022-07-27,5736.0,,670644827.7593565,348605903.2936669,191084.47595761903,Auto,5564343.098748943,2.5558352812869476
2099-12-31,2802.0,911156988.4152855,561916013.4222986,427482256.63633245,3297373.9724432975,Auto,8953349.794488212,4.523376295091787
2022-07-29,9155.0,,308800508.4694024,764257850.2045442,8910876.988245673,,3510755.6308692056,8.5486424157241
2022-07-30,9120.0,488860734.23430043,261822755.53703302,862568844.0790623,7044897.676627542,Auto,9492697.603631815,9.763096514739095
2022-07-31,7616.0,438262305.929813,843407750.3199902,773158822.9188128,5584502.202484917,Auto,4405543.773327111,9.336655448392397
2022-08-01,6534.0,28722847.3906498,717626907.2530508,82857315.82474332,6717215.423886648,Wholesale,8383487.751610264,4.629379730762486
2022-08-02,5061.0,166788542.9887754,,662220645.9895192,4721741.123941681,Wholesale,3200591.2987852083,2.2956441148064597
2022-08-03,1262.0,60129899.21575172,259578565.18736982,852480677.6913744,2496094.5595337097,Wholesale,8762885.538374873,4.182991680053825
2022-08-04,7287.0,696658729.6905456,969827797.6296083,529374186.49727917,4467004.670337555,Retail,2304420.6379654943,9.631075134806853
2022-08-05,,413821415.5679473,82231708.82672457,935559275.1760334,3177713.9886612627,Mortgage,3460416.436736883,9.250095336330897
2022-08-06,3049.0,64706108.187344156,838414896.8682859,,7448248.322988592,,8263072.787494931,4.651426767658893
2022-08-07,6423.0,690884502.5762162,3596680312.0143785,878235655.9435985,834076.4281754086,Retail,9793739.196948394,2.163281030575477
2022-08-08,5548.0,644791426.9651159,392870698.44758683,964087806.1084464,3948400.1014093636,Wholesale,8998272.407787781,8.494532563636739
