Loan_ID,Borrower_Name,Loan_Amount,Outstanding_Balance,Risk_Rating,Loan_Type,Origination_Date,Maturity_Date,Interest_Rate,Current_Status,Borrower_Industry,Credit_Score,Annual_Income,LTV_Ratio,Collateral_Type,Country,State,Reporting_Date
LN000022,Borrower_22,267913,111084,Medium,Auto,2015-01-22,2025-01-22,7.06,Default,Technology,795,145631,0.38,Real Estate,UK,PA,2024-01-22
LN000023,Borrower_23,326879,491103,High,Personal,2015-01-23,2025-01-23,9.07,Delinquent,Finance,510,349183,0.39,None,Germany,OH,2024-01-23
LN000024,Borrower_24,199027,346876,High,Mortgage,2015-01-24,2025-01-24,3.97,Default,Manufacturing,626,478929,0.24,Inventory,Germany,PA,2024-01-24
LN000025,Borrower_25,332069,474006,Medium,Mortgage,2015-01-25,2025-01-25,7.71,Delinquent,Finance,546,395195,0.38,Real Estate,Germany,CA,2024-01-25
LN000026,Borrower_26,257709,342701,High,Auto,2015-01-26,2025-01-26,7.01,Delinquent,Retail,848,377738,0.92,Real Estate,France,NY,2024-01-26
LN000027,Borrower_27,204041,334404,Medium,Personal,2015-01-27,2025-01-27,4.79,Current,Retail,802,330820,0.39,None,Germany,NY,2024-01-27
LN000028,Borrower_28,272455,160762,Medium,Auto,2015-01-28,2025-01-28,13.68,Delinquent,Technology,466,145663,0.35,Real Estate,France,OH,2024-01-28
LN000029,Borrower_29,108355,264551,Low,Personal,2015-01-29,2025-01-29,4.35,Delinquent,Manufacturing,740,80063,0.45,Equipment,Germany,MI,2024-01-29
LN000030,Borrower_30,240796,74568,Low,Personal,2015-01-30,2025-01-30,10.45,Current,Healthcare,652,62704,0.96,None,UK,NY,2024-01-30
LN000031,Borrower_31,219176,59560,Low,Commercial,2015-01-31,2025-01-31,13.63,Current,Finance,398,266753,0.79,Equipment,France,NY,2024-01-31
LN000032,Borrower_32,189779,441556,Low,Mortgage,2015-02-01,2025-02-01,13.9,Default,Healthcare,417,254274,0.28,Real Estate,Germany,OH,2024-02-01
LN000033,Borrower_33,352449,149866,High,Auto,2015-02-02,2025-02-02,12.42,Default,Healthcare,652,342808,0.78,Inventory,Canada,IL,2024-02-02
LN000034,Borrower_34,426909,151953,High,Mortgage,2015-02-03,2025-02-03,4.7,Current,Healthcare,800,51164,0.79,Equipment,Germany,GA,2024-02-03
LN000035,Borrower_35,470148,218364,Low,Mortgage,2015-02-04,2025-02-04,12.72,Current,Healthcare,338,374644,0.96,Real Estate,Canada,GA,2024-02-04
LN000036,Borrower_36,263795,237770,Medium,Personal,2015-02-05,2025-02-05,5.96,Current,Finance,629,337153,0.9,None,Canada,OH,2024-02-05
LN000037,Borrower_37,491232,227024,Medium,Mortgage,2015-02-06,2025-02-06,14.03,Delinquent,Retail,622,287489,0.19,Equipment,USA,OH,2024-02-06
LN000038,Borrower_38,397752,181775,Medium,Commercial,2015-02-07,2025-02-07,11.36,Delinquent,Finance,797,197159,0.51,Real Estate,Germany,CA,2024-02-07
LN000039,Borrower_39,161730,438570,Medium,Auto,2015-02-08,2025-02-08,12.32,Delinquent,Retail,328,308719,0.73,Equipment,USA,CA,2024-02-08
LN000040,Borrower_40,351622,92288,High,Mortgage,2015-02-09,2025-02-09,3.56,Current,Retail,842,288194,0.98,Real Estate,USA,NC,2024-02-09
LN000041,Borrower_41,389681,472678,Medium,Auto,2015-02-10,2025-02-10,9.78,Default,Finance,615,372790,0.18,None,France,NY,2024-02-10
LN000042,Borrower_42,154503,382164,Medium,Mortgage,2015-02-11,2025-02-11,12.76,Default,Finance,812,454172,0.43,Inventory,Canada,OH,2024-02-11
LN000043,Borrower_43,135523,362445,Low,Auto,2015-02-12,2025-02-12,13.27,Delinquent,Finance,766,268789,0.54,Inventory,USA,IL,2024-02-12
LN000044,Borrower_44,7747,250836,Medium,Auto,2015-02-13,2025-02-13,2.86,Delinquent,Retail,498,348414,0.47,Inventory,Germany,NY,2024-02-13
LN000045,Borrower_45,128855,15390,High,Auto,2015-02-14,2025-02-14,14.24,Current,Finance,481,320380,0.51,None,UK,OH,2024-02-14
LN000046,Borrower_46,457366,498619,Medium,Mortgage,2015-02-15,2025-02-15,3.04,Current,Manufacturing,429,277189,0.43,Inventory,Germany,OH,2024-02-15
LN000047,Borrower_47,70725,219547,Medium,Commercial,2015-02-16,2025-02-16,10.18,Default,Technology,430,460108,0.97,None,Canada,NC,2024-02-16
LN000048,Borrower_48,134981,28307,High,Auto,2015-02-17,2025-02-17,11.17,Default,Technology,304,192579,0.82,Inventory,France,TX,2024-02-17
LN000049,Borrower_49,89654,228436,Low,Personal,2015-02-18,2025-02-18,3.84,Current,Manufacturing,466,265424,0.76,Real Estate,Germany,TX,2024-02-18
LN000050,Borrower_50,433989,226121,High,Personal,2015-02-19,2025-02-19,3.1,Default,Technology,684,330971,0.47,None,Germany,FL,2024-02-19
LN000051,Borrower_51,386490,252063,Low,Personal,2015-02-20,2025-02-20,12.31,Default,Retail,391,446295,0.89,Equipment,USA,OH,2024-02-20
LN000052,Borrower_52,72435,25502,Medium,Commercial,2015-02-21,2025-02-21,7.31,Delinquent,Finance,486,324072,0.18,None,Germany,OH,2024-02-21
LN000053,Borrower_53,324030,489815,Low,Auto,2015-02-22,2025-02-22,3.84,Current,Finance,764,75103,0.23,Real Estate,Canada,MI,2024-02-22
LN000054,Borrower_54,333947,23486,Low,Commercial,2015-02-23,2025-02-23,12.03,Current,Finance,818,150877,0.96,Inventory,UK,GA,2024-02-23
LN000055,Borrower_55,36551,374957,Low,Auto,2015-02-24,2025-02-24,13.11,Current,Manufacturing,414,382722,0.61,Real Estate,USA,IL,2024-02-24
LN000056,Borrower_56,383360,170330,Medium,Commercial,2015-02-25,2025-02-25,9.84,Delinquent,Manufacturing,562,201306,0.24,Real Estate,Germany,NC,2024-02-25
LN000057,Borrower_57,278538,189788,Low,Auto,2015-02-26,2025-02-26,4.52,Current,Retail,643,325920,0.95,Real Estate,UK,MI,2024-02-26
LN000058,Borrower_58,336236,229300,Low,Personal,2015-02-27,2025-02-27,2.69,Default,Manufacturing,538,385664,0.98,Real Estate,Germany,NY,2024-02-27
LN000059,Borrower_59,8890,104920,Medium,Auto,2015-02-28,2025-02-28,11.26,Delinquent,Finance,608,413936,0.89,Inventory,France,CA,2024-02-28
LN000060,Borrower_60,46606,213566,High,Commercial,2015-03-01,2025-03-01,9.38,Delinquent,Retail,315,466712,0.31,Real Estate,Canada,MI,2024-02-29
LN000061,Borrower_61,494492,494768,High,Auto,2015-03-02,2025-03-02,10.63,Current,Retail,361,210425,0.35,Real Estate,France,MI,2024-03-01
LN000062,Borrower_62,261840,345912,High,Mortgage,2015-03-03,2025-03-03,12.66,Default,Finance,620,28012,0.47,None,USA,GA,2024-03-02
LN000063,Borrower_63,478254,404964,Medium,Auto,2015-03-04,2025-03-04,7.93,Current,Healthcare,667,104228,0.62,Real Estate,UK,OH,2024-03-03
LN000064,Borrower_64,354457,63785,Medium,Personal,2015-03-05,2025-03-05,4.06,Default,Finance,734,73305,0.99,Inventory,France,MI,2024-03-04
LN000065,Borrower_65,146699,77050,High,Auto,2015-03-06,2025-03-06,14.25,Current,Retail,591,326232,0.96,None,Germany,CA,2024-03-05
LN000066,Borrower_66,275936,23738,Low,Mortgage,2015-03-07,2025-03-07,9.32,Default,Healthcare,462,490697,0.93,None,France,MI,2024-03-06
LN000067,Borrower_67,244931,75231,High,Mortgage,2015-03-08,2025-03-08,10.19,Default,Finance,540,331368,0.18,Real Estate,UK,TX,2024-03-07
LN000068,Borrower_68,244629,74606,Medium,Mortgage,2015-03-09,2025-03-09,14.17,Default,Finance,624,199589,0.78,Equipment,Germany,NC,2024-03-08
LN000069,Borrower_69,210041,487517,Low,Commercial,2015-03-10,2025-03-10,14.14,Delinquent,Healthcare,674,199028,0.89,Inventory,USA,FL,2024-03-09
LN000070,Borrower_70,179073,304806,Low,Mortgage,2015-03-11,2025-03-11,9.65,Current,Healthcare,428,204304,0.4,Inventory,France,OH,2024-03-10
LN000071,Borrower_71,212624,381457,Medium,Commercial,2015-03-12,2025-03-12,6.22,Current,Technology,422,469045,0.3,None,Canada,OH,2024-03-11
LN000072,Borrower_72,422113,228369,Low,Mortgage,2015-03-13,2025-03-13,14.96,Current,Healthcare,763,212564,0.77,Real Estate,UK,PA,2024-03-12
LN000073,Borrower_73,73148,476450,High,Commercial,2015-03-14,2025-03-14,11.01,Delinquent,Manufacturing,826,194648,0.18,Inventory,Canada,NY,2024-03-13
LN000074,Borrower_74,257801,278267,Medium,Mortgage,2015-03-15,2025-03-15,7.61,Default,Healthcare,528,442781,0.95,Equipment,Germany,GA,2024-03-14
LN000075,Borrower_75,129243,494896,Medium,Mortgage,2015-03-16,2025-03-16,9.5,Delinquent,Retail,443,220806,0.24,Equipment,Canada,TX,2024-03-15
LN000076,Borrower_76,256995,157688,Medium,Auto,2015-03-17,2025-03-17,7.7,Delinquent,Healthcare,475,258703,0.51,Equipment,UK,NC,2024-03-16
LN000077,Borrower_77,387318,496898,Medium,Mortgage,2015-03-18,2025-03-18,13.6,Default,Finance,352,37202,0.98,None,UK,FL,2024-03-17
LN000078,Borrower_78,159555,274326,Low,Auto,2015-03-19,2025-03-19,8.53,Current,Manufacturing,634,397749,0.99,None,Canada,CA,2024-03-18
LN000079,Borrower_79,391502,353513,Medium,Mortgage,2015-03-20,2025-03-20,12.79,Delinquent,Healthcare,592,201754,0.8,Inventory,Canada,IL,2024-03-19
LN000080,Borrower_80,53555,493094,Medium,Mortgage,2015-03-21,2025-03-21,13.0,Default,Manufacturing,539,499601,0.86,Inventory,Germany,PA,2024-03-20
LN000081,Borrower_81,261508,456229,Low,Auto,2015-03-22,2025-03-22,12.8,Default,Technology,742,149670,0.97,Equipment,Canada,PA,2024-03-21
LN000082,Borrower_82,284303,163403,Medium,Auto,2015-03-23,2025-03-23,11.53,Current,Manufacturing,435,256351,0.93,Inventory,UK,NY,2024-03-22
LN000083,Borrower_83,377654,178170,Low,Commercial,2015-03-24,2025-03-24,13.19,Default,Finance,370,207576,0.66,Inventory,Canada,FL,2024-03-23
LN000084,Borrower_84,111530,27128,Low,Personal,2015-03-25,2025-03-25,7.34,Default,Technology,307,430649,0.76,Inventory,USA,NC,2024-03-24
LN000085,Borrower_85,85077,32556,Medium,Auto,2015-03-26,2025-03-26,3.93,Default,Healthcare,732,470584,0.63,Inventory,UK,FL,2024-03-25
LN000086,Borrower_86,303064,259470,High,Commercial,2015-03-27,2025-03-27,13.03,Current,Manufacturing,635,393572,0.56,Inventory,UK,TX,2024-03-26
LN000087,Borrower_87,490283,481721,Medium,Mortgage,2015-03-28,2025-03-28,8.73,Current,Technology,718,184767,0.89,Real Estate,Germany,OH,2024-03-27
LN000088,Borrower_88,465337,153948,High,Auto,2015-03-29,2025-03-29,4.09,Default,Healthcare,600,183079,0.76,None,Germany,FL,2024-03-28
LN000089,Borrower_89,205551,141021,Low,Auto,2015-03-30,2025-03-30,3.94,Default,Healthcare,536,359464,0.87,None,France,OH,2024-03-29
LN000090,Borrower_90,487691,52962,High,Mortgage,2015-03-31,2025-03-31,4.49,Current,Manufacturing,805,87381,0.19,Inventory,Germany,TX,2024-03-30
LN000091,Borrower_91,286601,91054,Medium,Mortgage,2015-04-01,2025-04-01,11.89,Current,Manufacturing,698,133883,0.62,Real Estate,USA,FL,2024-03-31
LN000092,Borrower_92,464773,203278,Medium,Mortgage,2015-04-02,2025-04-02,11.39,Current,Technology,622,277811,0.4,Real Estate,Germany,TX,2024-04-01
LN000093,Borrower_93,213261,25099,High,Mortgage,2015-04-03,2025-04-03,5.05,Delinquent,Manufacturing,301,178147,0.56,Equipment,France,FL,2024-04-02
LN000094,Borrower_94,245181,236943,Medium,Personal,2015-04-04,2025-04-04,13.09,Current,Healthcare,484,491746,0.65,Inventory,UK,NC,2024-04-03
LN000095,Borrower_95,346097,406932,High,Auto,2015-04-05,2025-04-05,6.02,Default,Finance,315,213707,0.86,Inventory,Germany,FL,2024-04-04
LN000096,Borrower_96,320139,184683,Low,Mortgage,2015-04-06,2025-04-06,12.41,Current,Technology,578,247240,0.13,Real Estate,France,FL,2024-04-05
LN000097,Borrower_97,176829,170957,High,Mortgage,2015-04-07,2025-04-07,8.61,Default,Finance,650,230089,0.25,Real Estate,Germany,TX,2024-04-06
LN000098,Borrower_98,276836,316288,High,Personal,2015-04-08,2025-04-08,11.64,Default,Finance,669,246698,0.93,Equipment,Germany,PA,2024-04-07
LN000099,Borrower_99,443974,197292,High,Auto,2015-04-09,2025-04-09,7.27,Default,Healthcare,677,313999,0.97,None,UK,IL,2024-04-08
LN000100,Borrower_100,470625,8837,High,Commercial,2015-04-10,2025-04-10,6.84,Current,Finance,354,191996,0.15,Real Estate,France,PA,2024-04-09
LN000101,Borrower_101,207283,181427,Low,Auto,2015-04-11,2025-04-11,13.02,Current,Retail,507,139466,0.4,Real Estate,Germany,OH,2024-04-10
LN000102,Borrower_102,201769,179371,Low,Commercial,2015-04-12,2025-04-12,2.94,Current,Technology,431,365991,0.11,Inventory,UK,FL,2024-04-11
LN000103,Borrower_103,42065,413375,Low,Personal,2015-04-13,2025-04-13,14.68,Current,Healthcare,665,495821,0.78,Inventory,France,GA,2024-04-12
LN000104,Borrower_104,228165,388356,High,Mortgage,2015-04-14,2025-04-14,10.6,Current,Manufacturing,655,337729,0.71,Real Estate,Canada,NY,2024-04-13
LN000105,Borrower_105,104299,379824,Low,Personal,2015-04-15,2025-04-15,7.91,Delinquent,Healthcare,477,112126,0.61,None,France,MI,2024-04-14
LN000106,Borrower_106,430822,249003,Medium,Auto,2015-04-16,2025-04-16,10.35,Current,Manufacturing,541,223331,0.72,Equipment,Germany,CA,2024-04-15
LN000107,Borrower_107,16534,369946,Low,Mortgage,2015-04-17,2025-04-17,4.03,Delinquent,Healthcare,583,373937,0.58,Equipment,Germany,TX,2024-04-16
LN000108,Borrower_108,492879,103413,High,Auto,2015-04-18,2025-04-18,8.93,Default,Retail,736,85674,0.31,None,France,CA,2024-04-17
LN000109,Borrower_109,45397,52012,Medium,Commercial,2015-04-19,2025-04-19,14.81,Default,Technology,824,189178,0.78,Inventory,UK,NC,2024-04-18
LN000110,Borrower_110,262750,131193,High,Auto,2015-04-20,2025-04-20,5.44,Default,Finance,370,494514,0.8,None,France,PA,2024-04-19
LN000111,Borrower_111,358531,453521,Medium,Personal,2015-04-21,2025-04-21,11.53,Default,Healthcare,353,192529,0.87,Equipment,Germany,IL,2024-04-20
LN000112,Borrower_112,268160,219168,High,Personal,2015-04-22,2025-04-22,7.94,Delinquent,Technology,312,145768,0.96,Real Estate,Germany,OH,2024-04-21
LN000113,Borrower_113,488005,149178,High,Personal,2015-04-23,2025-04-23,10.66,Delinquent,Technology,675,119352,0.77,Inventory,USA,GA,2024-04-22
LN000114,Borrower_114,60591,59123,Medium,Mortgage,2015-04-24,2025-04-24,5.06,Default,Technology,559,389045,0.15,Inventory,UK,OH,2024-04-23
LN000115,Borrower_115,225884,112825,Low,Auto,2015-04-25,2025-04-25,8.38,Current,Technology,379,156443,0.12,None,USA,GA,2024-04-24
LN000116,Borrower_116,28247,9720,Medium,Mortgage,2015-04-26,2025-04-26,14.75,Default,Technology,775,169206,0.77,Real Estate,Germany,IL,2024-04-25
LN000117,Borrower_117,29300,169733,Medium,Auto,2015-04-27,2025-04-27,4.94,Default,Finance,359,342212,0.15,None,UK,TX,2024-04-26
LN000118,Borrower_118,472281,247103,Medium,Commercial,2015-04-28,2025-04-28,10.46,Delinquent,Finance,346,223657,0.38,None,UK,TX,2024-04-27
LN000119,Borrower_119,87798,225970,Medium,Auto,2015-04-29,2025-04-29,9.69,Default,Healthcare,789,463984,0.22,Inventory,UK,FL,2024-04-28
LN000120,Borrower_120,14268,225866,Medium,Auto,2015-04-30,2025-04-30,9.56,Delinquent,Manufacturing,335,309587,0.97,Inventory,France,CA,2024-04-29
LN000121,Borrower_121,353951,481534,High,Auto,2015-05-01,2025-05-01,10.19,Delinquent,Healthcare,830,389740,0.38,None,France,TX,2024-04-30
LN000122,Borrower_122,279329,415336,High,Auto,2015-05-02,2025-05-02,8.78,Default,Technology,555,80739,0.15,Equipment,Germany,GA,2024-05-01
LN000123,Borrower_123,199776,151862,Low,Commercial,2015-05-03,2025-05-03,2.71,Current,Manufacturing,585,102399,0.95,Inventory,UK,GA,2024-05-02
LN000124,Borrower_124,222851,59655,Low,Mortgage,2015-05-04,2025-05-04,13.75,Delinquent,Healthcare,666,245563,0.65,None,UK,MI,2024-05-03
LN000125,Borrower_125,437315,191715,Medium,Personal,2015-05-05,2025-05-05,12.84,Delinquent,Manufacturing,527,76477,0.13,Equipment,UK,CA,2024-05-04
LN000126,Borrower_126,406787,94448,Low,Auto,2015-05-06,2025-05-06,4.68,Delinquent,Finance,470,480461,0.85,None,France,GA,2024-05-05
LN000127,Borrower_127,241584,179446,Low,Personal,2015-05-07,2025-05-07,7.67,Default,Technology,796,408263,0.24,Equipment,Germany,IL,2024-05-06
LN000128,Borrower_128,43044,174979,Medium,Personal,2015-05-08,2025-05-08,12.13,Default,Manufacturing,544,240308,0.82,None,UK,MI,2024-05-07
LN000129,Borrower_129,318358,182143,High,Personal,2015-05-09,2025-05-09,14.75,Delinquent,Retail,692,418478,0.64,Inventory,UK,PA,2024-05-08
LN000130,Borrower_130,459444,121507,High,Personal,2015-05-10,2025-05-10,14.39,Current,Technology,823,493730,0.26,None,Canada,CA,2024-05-09
LN000131,Borrower_131,381896,297956,Low,Auto,2015-05-11,2025-05-11,13.74,Default,Finance,597,189296,0.78,Inventory,USA,NY,2024-05-10
LN000132,Borrower_132,53984,312714,High,Personal,2015-05-12,2025-05-12,4.48,Current,Finance,756,408558,0.51,None,France,FL,2024-05-11
LN000133,Borrower_133,307918,314045,High,Auto,2015-05-13,2025-05-13,13.93,Current,Healthcare,736,441984,0.67,Real Estate,Canada,FL,2024-05-12
LN000134,Borrower_134,269712,61186,Low,Commercial,2015-05-14,2025-05-14,13.48,Default,Retail,645,200676,0.88,None,Germany,OH,2024-05-13
LN000135,Borrower_135,125151,123066,Medium,Mortgage,2015-05-15,2025-05-15,7.21,Delinquent,Manufacturing,777,297767,0.33,None,USA,CA,2024-05-14
LN000136,Borrower_136,460808,391508,Low,Mortgage,2015-05-16,2025-05-16,7.43,Current,Healthcare,484,270248,0.43,Inventory,Germany,FL,2024-05-15
LN000137,Borrower_137,465779,182323,Low,Auto,2015-05-17,2025-05-17,8.25,Delinquent,Finance,571,243097,1.0,Inventory,France,NC,2024-05-16
LN000138,Borrower_138,138767,197243,Low,Auto,2015-05-18,2025-05-18,10.7,Current,Manufacturing,760,480121,0.56,None,Germany,NY,2024-05-17
LN000139,Borrower_139,129375,37160,Medium,Mortgage,2015-05-19,2025-05-19,5.76,Delinquent,Finance,398,128929,0.6,Inventory,UK,OH,2024-05-18
LN000140,Borrower_140,184262,20156,Medium,Personal,2015-05-20,2025-05-20,2.79,Default,Finance,733,124612,0.36,Inventory,UK,TX,2024-05-19
LN000141,Borrower_141,141330,77208,Medium,Auto,2015-05-21,2025-05-21,4.27,Current,Retail,772,148509,0.47,Real Estate,Germany,MI,2024-05-20
LN000142,Borrower_142,485754,474196,Medium,Personal,2015-05-22,2025-05-22,8.0,Current,Technology,568,347139,0.55,Inventory,Germany,NY,2024-05-21
LN000143,Borrower_143,306648,466536,Low,Auto,2015-05-23,2025-05-23,6.03,Current,Manufacturing,695,486315,0.33,Inventory,Germany,NY,2024-05-22
LN000144,Borrower_144,169231,150001,High,Auto,2015-05-24,2025-05-24,12.06,Delinquent,Retail,707,380978,0.31,None,Germany,GA,2024-05-23
LN000145,Borrower_145,18986,460822,Low,Commercial,2015-05-25,2025-05-25,3.83,Current,Finance,686,472503,0.64,None,UK,IL,2024-05-24
LN000146,Borrower_146,66858,482658,Medium,Commercial,2015-05-26,2025-05-26,13.97,Current,Finance,833,480303,0.27,Inventory,Canada,FL,2024-05-25
LN000147,Borrower_147,134312,232226,High,Mortgage,2015-05-27,2025-05-27,13.69,Delinquent,Retail,640,124961,0.6,None,Canada,FL,2024-05-26
LN000148,Borrower_148,17666,456775,Low,Commercial,2015-05-28,2025-05-28,13.86,Delinquent,Manufacturing,838,69556,0.74,Equipment,Germany,MI,2024-05-27
LN000149,Borrower_149,305804,448421,High,Commercial,2015-05-29,2025-05-29,11.75,Default,Finance,513,340009,0.28,Real Estate,Germany,GA,2024-05-28
LN000150,Borrower_150,139633,242766,Medium,Mortgage,2015-05-30,2025-05-30,3.84,Delinquent,Manufacturing,696,475609,0.77,None,USA,OH,2024-05-29
LN000151,Borrower_151,293998,462691,High,Personal,2015-05-31,2025-05-31,7.98,Current,Retail,343,315529,0.42,Equipment,Germany,MI,2024-05-30
LN000152,Borrower_152,331649,196413,High,Commercial,2015-06-01,2025-06-01,4.14,Current,Finance,665,300592,0.99,Inventory,Canada,CA,2024-05-31
LN000153,Borrower_153,109488,358521,Medium,Personal,2015-06-02,2025-06-02,14.85,Default,Healthcare,473,425707,0.98,Inventory,France,NC,2024-06-01
LN000154,Borrower_154,188323,306007,High,Mortgage,2015-06-03,2025-06-03,6.66,Default,Healthcare,572,35366,0.82,None,France,OH,2024-06-02
LN000155,Borrower_155,289806,213909,Low,Auto,2015-06-04,2025-06-04,9.82,Current,Finance,849,226536,0.41,None,Germany,FL,2024-06-03
LN000156,Borrower_156,275536,66439,High,Personal,2015-06-05,2025-06-05,12.24,Delinquent,Technology,789,443469,0.94,Real Estate,Germany,MI,2024-06-04
LN000157,Borrower_157,35535,139266,Low,Mortgage,2015-06-06,2025-06-06,14.01,Current,Finance,481,203985,1.0,Equipment,France,NC,2024-06-05
LN000158,Borrower_158,476819,203459,High,Personal,2015-06-07,2025-06-07,11.94,Default,Finance,395,78878,0.52,None,USA,MI,2024-06-06
LN000159,Borrower_159,380713,122361,High,Mortgage,2015-06-08,2025-06-08,10.93,Current,Finance,370,455209,0.65,Equipment,Canada,NC,2024-06-07
LN000160,Borrower_160,319400,213986,Medium,Mortgage,2015-06-09,2025-06-09,8.32,Current,Retail,610,74031,0.11,Inventory,Germany,CA,2024-06-08
LN000161,Borrower_161,356279,198286,Medium,Auto,2015-06-10,2025-06-10,10.07,Current,Finance,626,54560,0.14,Equipment,Germany,GA,2024-06-09
LN000162,Borrower_162,394622,359320,Low,Personal,2015-06-11,2025-06-11,3.68,Default,Finance,646,48296,0.55,Equipment,USA,PA,2024-06-10
LN000163,Borrower_163,302366,493508,Medium,Auto,2015-06-12,2025-06-12,13.55,Default,Retail,465,271916,0.65,None,Canada,IL,2024-06-11
LN000164,Borrower_164,82373,30777,Medium,Auto,2015-06-13,2025-06-13,9.3,Default,Finance,515,218844,0.38,Inventory,Germany,GA,2024-06-12
LN000165,Borrower_165,477791,257427,Medium,Personal,2015-06-14,2025-06-14,3.0,Delinquent,Healthcare,643,420815,0.19,Inventory,Canada,TX,2024-06-13
LN000166,Borrower_166,128684,158255,Medium,Personal,2015-06-15,2025-06-15,14.0,Default,Healthcare,360,337583,0.8,Equipment,Canada,IL,2024-06-14
LN000167,Borrower_167,494570,421661,Medium,Mortgage,2015-06-16,2025-06-16,8.62,Delinquent,Finance,485,216321,0.48,Inventory,France,IL,2024-06-15
LN000168,Borrower_168,482867,199110,Low,Personal,2015-06-17,2025-06-17,13.36,Delinquent,Retail,663,273352,0.68,Real Estate,Germany,MI,2024-06-16
LN000169,Borrower_169,461551,350345,Low,Mortgage,2015-06-18,2025-06-18,13.21,Default,Finance,481,30525,0.69,Inventory,France,GA,2024-06-17
LN000170,Borrower_170,278109,410414,Medium,Mortgage,2015-06-19,2025-06-19,12.7,Delinquent,Finance,333,267500,0.59,Equipment,Canada,GA,2024-06-18
LN000171,Borrower_171,29538,415627,Medium,Mortgage,2015-06-20,2025-06-20,3.27,Delinquent,Manufacturing,704,307047,0.26,Equipment,Germany,IL,2024-06-19
LN000172,Borrower_172,375210,182649,Low,Mortgage,2015-06-21,2025-06-21,5.59,Current,Technology,437,250070,0.65,Inventory,UK,CA,2024-06-20
LN000173,Borrower_173,206664,279011,High,Mortgage,2015-06-22,2025-06-22,13.44,Delinquent,Retail,327,101418,0.39,Real Estate,UK,NC,2024-06-21
