CustomerID,ObligorName,Country,IndustryCode,LoanAmount,InterestRate,LoanMaturityDate,RiskRating,NetSales,NetIncome,TotalAssets,TotalLiabilities
CUST000076,Company_76,UK,551111,39007101,3.99,2025-03-17,AAA,95545761,10768768,188743869,32681639
CUST000077,Company_77,UK,5411,33885183,8.51,2025-03-18,BBB,72339939,-1477636,51299337,225730944
CUST000078,Company_78,FR,2361,19911328,9.05,2025-03-19,B,88128844,780866,234054671,255810443
CUST000079,Company_79,US,52,1266796,1.78,2025-03-20,BBB,37340761,17156773,46923580,114596296
CUST000080,Company_80,UK,2361,49507148,3.09,2025-03-21,B,63497364,9196114,476386015,265351558
CUST000081,Company_81,FR,52,49125330,4.44,2025-03-22,CCC,35855703,19203235,490093849,210055309
CUST000082,Company_82,UK,5312,9286951,7.77,2025-03-23,BBB,60404024,11395643,341659038,14627963
CUST000083,Company_83,UK,5411,1308013,7.63,2025-03-24,A,97447180,8358419,413459918,216819441
CUST000084,Company_84,US,5312,37098286,5.7,2025-03-25,A,58156430,4450271,105169560,241075634
CUST000085,Company_85,US,551111,14304830,2.96,2025-03-26,BB,40227664,17401704,144490790,145229339
CUST000086,Company_86,CA,551111,19526840,6.99,2025-03-27,A,22820485,1406059,389024459,200651172
CUST000087,Company_87,US,5411,24524727,8.85,2025-03-28,BB,57236659,11447764,23835909,38183809
CUST000088,Company_88,CA,551111,3784439,6.6,2025-03-29,CCC,86445041,14649498,243994911,120970894
CUST000089,Company_89,UK,551111,40346537,6.79,2025-03-30,BBB,65313986,1980783,135806769,144175396
CUST000090,Company_90,CA,5411,22982201,6.19,2025-03-31,CCC,68414797,6938609,330946043,267579904
CUST000091,Company_91,FR,52,38921256,8.66,2025-04-01,CCC,69733050,17366186,197004647,256284593
CUST000092,Company_92,FR,5411,12510659,2.9,2025-04-02,BBB,48988523,6923587,457460991,138929499
CUST000093,Company_93,CA,551111,10774547,8.88,2025-04-03,B,51801156,14676632,46634523,106024987
CUST000094,Company_94,US,5411,24677498,1.81,2025-04-04,AA,61687521,5143932,231685964,61702734
CUST000095,Company_95,FR,52,46916366,1.96,2025-04-05,A,81482182,-1687914,498537880,111826083
CUST000096,Company_96,CA,2361,17803802,3.36,2025-04-06,AAA,64317680,-3940511,324331075,190723578
CUST000097,Company_97,FR,52,42717261,6.63,2025-04-07,A,9409874,8430798,393077093,192471999
CUST000098,Company_98,CA,5411,38573680,7.48,2025-04-08,AAA,54162999,586905,91867207,9394337
CUST000099,Company_99,US,5312,26494988,9.31,2025-04-09,BB,41216322,-1683067,14056236,194350677
CUST000100,Company_100,FR,52,7945421,9.61,2025-04-10,AAA,34546127,7225579,86605030,114416392
CUST000101,Company_101,DE,551111,13146983,4.61,2025-04-11,B,99158415,922974,339733004,167163975
CUST000102,Company_102,FR,52,43662186,5.94,2025-04-12,AAA,42201394,4009306,416153174,270487085
CUST000103,Company_103,CA,2361,15495949,3.96,2025-04-13,B,96036763,-1727051,168453723,256690482
CUST000104,Company_104,UK,5411,33382062,2.23,2025-04-14,A,85952322,338025,397224023,44353548
CUST000105,Company_105,FR,5312,1183829,3.44,2025-04-15,BBB,76807106,-1135992,236647403,203785827
CUST000106,Company_106,FR,5312,40915323,4.57,2025-04-16,AAA,18988051,3860907,121548181,207668431
CUST000107,Company_107,DE,5411,12440618,7.25,2025-04-17,B,74395050,6266876,353566212,296392802
CUST000108,Company_108,CA,5312,13694125,5.46,2025-04-18,AAA,7829705,13929442,39226107,249668318
CUST000109,Company_109,UK,52,22409905,6.12,2025-04-19,B,77930547,2041324,112374328,265339303
CUST000110,Company_110,US,5312,31360860,2.98,2025-04-20,BB,97266980,1821225,54668126,87766327
CUST000111,Company_111,DE,5312,33247268,2.9,2025-04-21,B,56744177,14643299,407562577,184237176
CUST000112,Company_112,CA,5312,2686778,4.19,2025-04-22,BB,41761179,13259819,261870668,271140370
CUST000113,Company_113,FR,551111,24843038,9.62,2025-04-23,A,22541716,11613630,75788039,165315620
CUST000114,Company_114,DE,52,46357088,7.19,2025-04-24,AAA,63589408,13196013,421319403,69700959
CUST000115,Company_115,UK,5312,1424258,2.78,2025-04-25,AA,27645001,-1121798,23424478,89242428
CUST000116,Company_116,CA,5312,48060787,7.29,2025-04-26,BB,62265542,-4966763,212537454,26636361
CUST000117,Company_117,CA,5312,27720437,4.31,2025-04-27,CCC,23469324,16233387,265390347,131367859
CUST000118,Company_118,FR,5312,47402479,9.06,2025-04-28,BBB,38847688,7388029,102767894,264012148
CUST000119,Company_119,UK,5411,7231597,2.74,2025-04-29,BB,11520963,-3979782,444840067,230166588
CUST000120,Company_120,FR,5411,1482695,7.69,2025-04-30,A,31788924,191509,171207916,227809288
CUST000121,Company_121,US,5312,20734215,8.59,2025-05-01,AAA,92986842,19683694,461233810,279939033
CUST000122,Company_122,US,5411,24902970,1.54,2025-05-02,B,62387075,7452413,38264622,157816950
CUST000123,Company_123,FR,5411,38715888,1.61,2025-05-03,BB,19159921,12957360,73106637,281495100
CUST000124,Company_124,US,5411,6269507,2.65,2025-05-04,CCC,72096662,6430701,47821293,142900292
CUST000125,Company_125,CA,5411,37250444,9.6,2025-05-05,BB,98686690,3393944,449253209,225735757
CUST000126,Company_126,US,5411,29734894,4.53,2025-05-06,B,58738510,14869440,463365356,290392901
CUST000127,Company_127,US,5312,14029122,2.49,2025-05-07,AAA,99725574,-1176225,318211125,75905287
CUST000128,Company_128,UK,5411,15150513,6.1,2025-05-08,AA,85246134,17818421,62454131,104690067
CUST000129,Company_129,CA,5411,49047943,4.3,2025-05-09,A,31002746,-4508041,30506310,205328288
CUST000130,Company_130,US,5411,7460157,8.19,2025-05-10,BBB,82950669,19540889,219010209,41031670
CUST000131,Company_131,US,5411,3101084,2.68,2025-05-11,AA,34214767,18783633,117072714,13044404
CUST000132,Company_132,UK,5411,19616697,5.64,2025-05-12,AAA,90301628,7463356,324622104,236615724
CUST000133,Company_133,CA,551111,49067286,7.09,2025-05-13,BBB,27704073,15099400,349188077,39971137
CUST000134,Company_134,CA,5312,1609027,4.39,2025-05-14,CCC,67856527,10713097,25293017,138094440
CUST000135,Company_135,US,5411,29711541,8.5,2025-05-15,BB,47042793,-418660,88685680,113716880
CUST000136,Company_136,CA,5411,30748859,5.4,2025-05-16,CCC,82419485,12561154,277039053,97456019
CUST000137,Company_137,UK,551111,32315841,2.14,2025-05-17,AA,24656483,1520789,48821814,107594836
CUST000138,Company_138,US,52,31238448,2.13,2025-05-18,AA,78914698,7114979,243965298,237611121
CUST000139,Company_139,DE,5411,35711003,4.85,2025-05-19,CCC,47516624,1773980,222723803,104425032
CUST000140,Company_140,FR,551111,27074835,9.16,2025-05-20,AA,42071847,2523534,47716792,146453779
CUST000141,Company_141,FR,5312,43370287,3.56,2025-05-21,A,67561868,7584837,400375662,43949365
CUST000142,Company_142,US,551111,33120150,9.85,2025-05-22,A,77081365,11891066,170962964,65091672
CUST000143,Company_143,DE,2361,28867416,7.77,2025-05-23,B,98895829,13056331,238932227,147376470
CUST000144,Company_144,US,2361,5406685,4.58,2025-05-24,BB,63876602,-4559705,357273946,206981031
CUST000145,Company_145,FR,5312,19428336,7.38,2025-05-25,BBB,46033625,17412156,410494044,226698801
CUST000146,Company_146,UK,2361,38021061,6.63,2025-05-26,A,83722471,2302137,388602639,48001573
CUST000147,Company_147,FR,5411,26520658,4.3,2025-05-27,AAA,75918026,9769680,483363493,264719075
CUST000148,Company_148,UK,52,28084533,2.12,2025-05-28,B,54608709,6455977,310757822,296300989
CUST000149,Company_149,DE,52,41826991,5.73,2025-05-29,AAA,80824213,-4034068,369804162,190621623
CUST000150,Company_150,DE,5312,42724645,2.27,2025-05-30,A,12940885,4466562,418673171,105209947
CUST000151,Company_151,FR,2361,27487466,3.71,2025-05-31,B,68121353,8136788,247231212,19707680
CUST000152,Company_152,US,551111,3087603,3.9,2025-06-01,B,46088198,1899524,354534148,138244620
CUST000153,Company_153,UK,551111,3548728,8.8,2025-06-02,CCC,38401737,7678974,61044051,52766517
CUST000154,Company_154,DE,2361,49303362,9.48,2025-06-03,CCC,72605704,15751477,197394397,72147791
CUST000155,Company_155,DE,2361,25336800,5.26,2025-06-04,CCC,16633599,3384904,229093351,288807219
CUST000156,Company_156,FR,5312,9754267,3.08,2025-06-05,AA,84337539,2139788,287469848,254089970
CUST000157,Company_157,CA,5312,43989679,2.87,2025-06-06,CCC,82187710,6524833,310832337,75416187
CUST000158,Company_158,DE,2361,23409985,5.84,2025-06-07,BBB,37171741,-1828441,331791737,160646913
CUST000159,Company_159,FR,52,1017946,1.64,2025-06-08,B,37876423,1589770,467152473,225454363
CUST000160,Company_160,CA,551111,12095662,7.46,2025-06-09,CCC,63098134,19364206,495661266,247321173
CUST000161,Company_161,UK,551111,26399132,6.9,2025-06-10,BB,37229585,6155312,246518481,159242271
CUST000162,Company_162,US,5312,5571140,3.31,2025-06-11,B,16363675,6562443,173597641,228265536
CUST000163,Company_163,US,2361,32654881,3.53,2025-06-12,B,95403251,9888004,168437937,94168916
CUST000164,Company_164,FR,5312,19983705,3.62,2025-06-13,B,22796001,11389564,483187342,82366529
CUST000165,Company_165,FR,52,19341418,3.59,2025-06-14,B,17267099,18512355,117372316,124466079
CUST000166,Company_166,DE,5411,4067779,2.01,2025-06-15,AAA,85738992,-4294243,84783275,170694354
CUST000167,Company_167,UK,2361,13357772,6.35,2025-06-16,B,40488302,1866083,97597188,117591123
CUST000168,Company_168,DE,5312,47259196,8.81,2025-06-17,CCC,34649097,-214450,256791383,110240757
CUST000169,Company_169,FR,2361,16148088,8.97,2025-06-18,A,77886344,5315373,230228183,50207006
CUST000170,Company_170,US,2361,34730605,7.88,2025-06-19,AAA,10692119,-3582228,226920316,138150064
CUST000171,Company_171,DE,5312,7212042,6.96,2025-06-20,AA,41508322,-3835868,271305764,157243507
CUST000172,Company_172,CA,5411,7305852,2.27,2025-06-21,AA,99520825,1543489,304510813,191810887
CUST000173,Company_173,CA,5411,49061295,8.59,2025-06-22,BB,5712161,4883822,102652375,99871586
CUST000174,Company_174,US,551111,41120932,4.86,2025-06-23,BB,59226760,18122681,77050793,183390101
CUST000175,Company_175,FR,52,44685707,4.08,2025-06-24,B,52310247,14403700,303430470,150180681
CUST000176,Company_176,UK,551111,49419457,6.5,2025-06-25,CCC,94293887,-146865,356743811,268950124
CUST000177,Company_177,FR,5411,14350504,3.51,2025-06-26,AA,97227730,9164642,217824669,156401421
CUST000178,Company_178,CA,551111,32992791,7.54,2025-06-27,AA,47983434,-1229455,127167445,226970366
CUST000179,Company_179,UK,5411,3650721,8.18,2025-06-28,B,71335119,12344179,267260704,122111709
CUST000180,Company_180,UK,551111,3956249,2.15,2025-06-29,AAA,44848251,9688341,383052626,148300592
CUST000181,Company_181,US,5312,16690828,4.64,2025-06-30,BBB,12808639,-1134523,344767777,181562435
CUST000182,Company_182,US,5411,13585668,6.79,2025-07-01,A,62888827,19492242,72993957,115176419
CUST000183,Company_183,US,5411,43001469,3.86,2025-07-02,CCC,34848819,10433578,355910378,217169931
CUST000184,Company_184,US,551111,48736501,5.63,2025-07-03,CCC,76439948,-468110,250379674,97785455
CUST000185,Company_185,CA,551111,2804714,3.18,2025-07-04,BB,15810278,6163856,332661161,106801275
CUST000186,Company_186,CA,5312,16866896,3.4,2025-07-05,A,37326068,3542970,61968449,86337937
CUST000187,Company_187,US,551111,29698845,7.86,2025-07-06,AAA,37471618,5998223,199778982,234318779
CUST000188,Company_188,US,551111,18311728,2.23,2025-07-07,A,51901372,19561172,94045116,222603547
CUST000189,Company_189,US,5312,47893652,2.39,2025-07-08,CCC,78613673,7018372,168164010,113351171
CUST000190,Company_190,CA,5312,33079527,6.64,2025-07-09,AAA,43191990,7782392,400007640,220729050
CUST000191,Company_191,CA,5411,6833362,7.47,2025-07-10,CCC,7971439,17629793,460071594,127894491
CUST000192,Company_192,UK,2361,4099369,1.86,2025-07-11,BB,92551139,18903604,268997063,282753688
CUST000193,Company_193,CA,551111,45774414,8.96,2025-07-12,BBB,72378857,10035037,41386405,105472518
CUST000194,Company_194,UK,2361,34410522,6.52,2025-07-13,BB,16870965,4616900,62575368,131966965
CUST000195,Company_195,CA,5411,42241942,7.79,2025-07-14,AAA,5637853,12614972,278498866,210522720
CUST000196,Company_196,DE,5312,1961494,2.76,2025-07-15,BB,89289041,4741960,346179188,63623280
CUST000197,Company_197,DE,52,8894571,4.91,2025-07-16,AAA,20495213,18840893,316031414,270119584
CUST000198,Company_198,UK,5312,5567270,9.49,2025-07-17,AA,65028602,-3544611,281055433,110687294
CUST000199,Company_199,DE,5312,18958475,4.98,2025-07-18,AAA,61571305,15201210,289551478,23745100
CUST000200,Company_200,UK,5411,19042166,7.04,2025-07-19,CCC,81986236,1471724,47449130,105771865
CUST000201,Company_201,UK,5312,45349275,5.9,2025-07-20,CCC,47245328,12297551,259405082,173223580
CUST000202,Company_202,UK,551111,42461482,8.51,2025-07-21,CCC,51352629,10798269,65629494,281348117
CUST000203,Company_203,DE,2361,43800546,6.47,2025-07-22,BBB,42773325,2050716,113324029,40795170
CUST000204,Company_204,FR,5411,48308295,5.73,2025-07-23,BBB,74525715,6421243,279262369,105882660
CUST000205,Company_205,FR,52,4280943,1.54,2025-07-24,BB,48410555,-1461160,356700432,53905499
CUST000206,Company_206,CA,5411,41003337,9.05,2025-07-25,AA,48416589,10208421,43998404,213846264
CUST000207,Company_207,CA,551111,18963596,7.59,2025-07-26,BBB,9741144,17187296,102180113,73620770
CUST000208,Company_208,FR,551111,37712194,3.62,2025-07-27,A,94860272,1026070,273603375,64532492
CUST000209,Company_209,US,52,38673904,5.4,2025-07-28,AAA,38981595,-735772,141599009,129863367
CUST000210,Company_210,US,551111,49954801,7.73,2025-07-29,B,21426144,6009168,265765925,220303972
CUST000211,Company_211,UK,5411,10149843,6.5,2025-07-30,CCC,74180033,17145184,412165138,282098196
CUST000212,Company_212,FR,5312,41921621,4.47,2025-07-31,B,5735358,2907014,218913250,258346763
CUST000213,Company_213,CA,52,44073585,1.69,2025-08-01,AA,52320991,6917128,400731711,149240896
CUST000214,Company_214,UK,5411,32526223,2.23,2025-08-02,A,98629762,5769259,12702440,207648570
CUST000215,Company_215,US,52,26170057,3.18,2025-08-03,BBB,42313973,18437419,166009093,123880984
CUST000216,Company_216,DE,52,6840228,3.23,2025-08-04,BBB,25152756,3692982,42985154,111125354
CUST000217,Company_217,FR,52,30759623,4.53,2025-08-05,BBB,94034597,-187636,321827978,152675140
CUST000218,Company_218,UK,551111,35339087,1.82,2025-08-06,AA,30068080,16416756,295152386,243413660
CUST000219,Company_219,US,52,34436011,4.69,2025-08-07,A,57173561,15648440,10525627,50080100
CUST000220,Company_220,CA,52,36866181,6.37,2025-08-08,BB,68785284,2082991,128287269,71272457
CUST000221,Company_221,CA,5411,45986177,8.79,2025-08-09,B,65736935,7322507,31326739,199648815
CUST000222,Company_222,US,52,23636401,8.21,2025-08-10,B,39896839,8391732,377272594,224907933
CUST000223,Company_223,DE,2361,12712920,4.3,2025-08-11,A,34355451,-4199318,19217430,284257590
CUST000224,Company_224,DE,551111,38198537,9.82,2025-08-12,B,12353118,13501379,411424478,110257189
CUST000225,Company_225,DE,5411,38677996,7.09,2025-08-13,AA,40787046,-4009543,437953674,167995974
CUST000226,Company_226,US,551111,38185565,2.14,2025-08-14,AAA,48663048,10543353,375219037,67849118
CUST000227,Company_227,FR,5312,7735286,9.78,2025-08-15,BBB,78964909,3695711,69733731,132885373
CUST000228,Company_228,CA,5411,9767912,4.54,2025-08-16,AAA,33600080,8453707,82829285,299297612
CUST000229,Company_229,US,5411,35841207,4.37,2025-08-17,BB,38677643,-3620945,246151566,12955939
CUST000230,Company_230,US,52,14423441,3.05,2025-08-18,B,48566984,7221027,195226226,168520305
CUST000231,Company_231,US,551111,14628773,5.83,2025-08-19,AA,61870139,9938160,319550140,145713814
CUST000232,Company_232,FR,52,44760680,7.89,2025-08-20,B,19082615,6221386,49836413,53824727
CUST000233,Company_233,CA,5312,16496015,7.91,2025-08-21,BB,92837025,-4923548,350961774,98487804
CUST000234,Company_234,US,5312,41683320,4.45,2025-08-22,BBB,19302987,-2610728,46331132,89689742
CUST000235,Company_235,CA,5411,30325668,3.31,2025-08-23,B,31821655,9309883,475890500,49651212
CUST000236,Company_236,DE,5312,1774509,8.78,2025-08-24,B,18083836,14584257,54068306,56614892
CUST000237,Company_237,DE,52,24999099,8.01,2025-08-25,B,7552527,-2880434,216067495,17855444
CUST000238,Company_238,CA,2361,33311611,1.63,2025-08-26,A,87727838,-3777459,403653348,234051679
CUST000239,Company_239,US,52,19825846,9.06,2025-08-27,CCC,36592604,14026893,58317321,225326193
CUST000240,Company_240,UK,5312,42532960,9.47,2025-08-28,A,78075736,-3809319,181636163,54987753
CUST000241,Company_241,UK,551111,45509905,8.84,2025-08-29,AA,97316269,15719129,393322120,216945182
CUST000242,Company_242,CA,5312,42379810,9.11,2025-08-30,BB,50107675,15714473,193719877,95364956
CUST000243,Company_243,US,551111,1540609,6.92,2025-08-31,CCC,35010950,5377712,100828975,47665102
CUST000244,Company_244,US,5411,25376834,9.78,2025-09-01,A,24041915,3322634,128107148,71376689
CUST000245,Company_245,DE,2361,29497765,4.92,2025-09-02,B,40857079,5169948,183348530,69033713
CUST000246,Company_246,CA,5312,21477050,4.45,2025-09-03,B,29646106,983,488981715,223991276
CUST000247,Company_247,DE,551111,19095300,6.25,2025-09-04,BB,31563538,13713687,332987148,190961876
CUST000248,Company_248,UK,52,37103076,6.84,2025-09-05,A,19741058,17770109,276419599,228120035
CUST000249,Company_249,FR,5312,24715382,5.8,2025-09-06,B,18832145,16610412,211582326,233744695
CUST000250,Company_250,FR,52,2481976,4.84,2025-09-07,BB,86722672,2050829,397667130,94552639
CUST000251,Company_251,UK,52,3051672,4.32,2025-09-08,B,64405133,15376654,258212600,197251962
CUST000252,Company_252,CA,5411,5929106,9.36,2025-09-09,AA,76480056,17715590,333565803,101334688
CUST000253,Company_253,UK,2361,12197120,9.05,2025-09-10,AAA,73348495,-1002075,401714797,262051082
CUST000254,Company_254,UK,5312,39971010,2.42,2025-09-11,A,75243756,-3969140,367693034,163578765
CUST000255,Company_255,DE,5411,11159086,9.82,2025-09-12,A,71775497,700718,41723720,49137649
CUST000256,Company_256,CA,52,37118665,3.49,2025-09-13,BBB,34588363,8706392,230160147,94331643
CUST000257,Company_257,FR,551111,12017027,7.42,2025-09-14,AA,84557555,15791673,255090322,135586151
CUST000258,Company_258,CA,551111,43284914,7.47,2025-09-15,BBB,47457904,16428358,335878752,168591399
CUST000259,Company_259,CA,5312,39593858,7.98,2025-09-16,BB,87219641,-1261038,285049546,54039062
CUST000260,Company_260,CA,5312,13876160,7.59,2025-09-17,BB,13604267,-624525,293505537,51136599
CUST000261,Company_261,FR,52,17833145,6.01,2025-09-18,BBB,19425308,13671041,129585987,96808444
CUST000262,Company_262,UK,52,39981457,3.1,2025-09-19,B,10040220,-4374024,230320019,132485484
CUST000263,Company_263,UK,52,24661919,5.83,2025-09-20,AA,14235749,16778047,275006013,180957012
CUST000264,Company_264,CA,551111,28932514,8.65,2025-09-21,A,55286921,7730934,440311463,9892327
CUST000265,Company_265,UK,5411,16506716,5.49,2025-09-22,A,66595949,-2676714,216851382,175788594
CUST000266,Company_266,UK,5312,39630157,6.29,2025-09-23,BBB,34189075,9585175,428128883,114520872
CUST000267,Company_267,UK,5411,32140765,2.28,2025-09-24,A,49376523,11821255,362708568,188556370
CUST000268,Company_268,DE,551111,17850377,4.57,2025-09-25,AA,80528753,15256035,373622167,72852513
CUST000269,Company_269,US,2361,21213623,6.91,2025-09-26,CCC,10015840,-96323,257610913,132071167
CUST000270,Company_270,FR,2361,13789172,1.98,2025-09-27,BBB,86706195,-3133035,212181566,80452393
CUST000271,Company_271,US,5312,7599910,9.66,2025-09-28,CCC,11706952,-2473777,429997088,5166455
CUST000272,Company_272,FR,5312,17607355,6.02,2025-09-29,AA,13991231,-3475875,164912913,263144395
